[2025-05-26 11:32:47] [SimulacaoArmazenamentoCremeDeQueijo] [INFO] 🛠️ 3 atividades de armazenamento criadas.
[2025-05-26 11:32:47] [SimulacaoArmazenamentoCremeDeQueijo] [INFO] 🚀 Tentando alocar atividade 1 com 5000g.
[2025-05-26 11:32:47] [SimulacaoArmazenamentoCremeDeQueijo] [INFO] 🚀 Tentando alocar atividade 2 com 12000g.
[2025-05-26 11:32:47] [SimulacaoArmazenamentoCremeDeQueijo] [INFO] 🚀 Tentando alocar atividade 3 com 25000g.
[2025-05-27 09:53:20] [SimulacaoArmazenamentoCremeDeQueijo] [INFO] 🛠️ 29 atividades de armazenamento criadas.
[2025-05-27 09:53:20] [SimulacaoArmazenamentoCremeDeQueijo] [INFO] 🚀 Tentando alocar atividade 1 | Quantidade: 5000g.
[2025-05-27 09:53:20] [SimulacaoArmazenamentoCremeDeQueijo] [INFO] 🚀 Tentando alocar atividade 2 | Quantidade: 12000g.
[2025-05-27 09:53:20] [SimulacaoArmazenamentoCremeDeQueijo] [INFO] 🚀 Tentando alocar atividade 3 | Quantidade: 25000g.
[2025-05-27 09:53:20] [SimulacaoArmazenamentoCremeDeQueijo] [INFO] 🚀 Tentando alocar atividade 4 | Quantidade: 7000g.
[2025-05-27 09:53:20] [SimulacaoArmazenamentoCremeDeQueijo] [INFO] 🚀 Tentando alocar atividade 5 | Quantidade: 9000g.
[2025-05-27 09:53:20] [SimulacaoArmazenamentoCremeDeQueijo] [INFO] 🚀 Tentando alocar atividade 6 | Quantidade: 11000g.
[2025-05-27 09:53:20] [SimulacaoArmazenamentoCremeDeQueijo] [INFO] 🚀 Tentando alocar atividade 7 | Quantidade: 15000g.
[2025-05-27 09:53:20] [SimulacaoArmazenamentoCremeDeQueijo] [INFO] 🚀 Tentando alocar atividade 8 | Quantidade: 20000g.
[2025-05-27 09:53:20] [SimulacaoArmazenamentoCremeDeQueijo] [INFO] 🚀 Tentando alocar atividade 9 | Quantidade: 18000g.
[2025-05-27 09:53:20] [SimulacaoArmazenamentoCremeDeQueijo] [INFO] 🚀 Tentando alocar atividade 10 | Quantidade: 14000g.
[2025-05-27 09:53:20] [SimulacaoArmazenamentoCremeDeQueijo] [INFO] 🚀 Tentando alocar atividade 11 | Quantidade: 17000g.
[2025-05-27 09:53:20] [SimulacaoArmazenamentoCremeDeQueijo] [INFO] 🚀 Tentando alocar atividade 12 | Quantidade: 13000g.
[2025-05-27 09:53:20] [SimulacaoArmazenamentoCremeDeQueijo] [INFO] 🚀 Tentando alocar atividade 13 | Quantidade: 23000g.
[2025-05-27 09:53:20] [SimulacaoArmazenamentoCremeDeQueijo] [INFO] 🚀 Tentando alocar atividade 14 | Quantidade: 10000g.
[2025-05-27 09:53:20] [SimulacaoArmazenamentoCremeDeQueijo] [INFO] 🚀 Tentando alocar atividade 15 | Quantidade: 8000g.
