4 | 8 | pao_frances | retirada_de_paes_de_massa_crocante_da_coccao | Armário Fermentador 3 | 17:57 | 18:00
4 | 7 | pao_frances | coccao_de_paes_de_massa_crocante | Forno 1 | 17:17 | 17:37
4 | 6 | pao_frances | corte_de_pestana_para_paes_de_massa_crocante | Bancada 1 | 17:13 | 17:17
4 | 5 | pao_frances | fermentacao_biologica_de_paes_de_massa_crocante | Armário Fermentador 1 | 14:13 | 17:13
4 | 4 | pao_frances | preparo_de_massas_crocantes_para_fermentacao | Bancada 1 | 14:10 | 14:13
4 | 3 | pao_frances | modelagem_de_paes_de_massa_crocante | Bancada 1 | 14:06 | 14:10
4 | 3 | pao_frances | modelagem_de_paes_de_massa_crocante | Modeladora de Pães 1 | 14:02 | 14:06
4 | 2 | pao_frances | divisao_de_massas_crocantes | Bancada 1 | 13:58 | 14:02
4 | 2 | pao_frances | divisao_de_massas_crocantes | Divisoras de Massas 1 | 13:54 | 13:58
4 | 1 | pao_frances | pesagem_de_massas_crocantes | Bancada 1 | 13:51 | 13:54
4 | 1 | pao_frances | pesagem_de_massas_crocantes | Balança Digital 1 | 13:48 | 13:51
4 | 1 | massa_crocante | mistura_de_massas_crocantes | Masseira 2 | 13:41 | 13:48
4 | 8 | pao_frances | retirada_de_paes_de_massa_crocante_da_coccao | Armário Fermentador 3 | 17:57 | 18:00
4 | 7 | pao_frances | coccao_de_paes_de_massa_crocante | Forno 1 | 17:17 | 17:37
4 | 6 | pao_frances | corte_de_pestana_para_paes_de_massa_crocante | Bancada 1 | 17:13 | 17:17
4 | 5 | pao_frances | fermentacao_biologica_de_paes_de_massa_crocante | Armário Fermentador 1 | 14:13 | 17:13
4 | 4 | pao_frances | preparo_de_massas_crocantes_para_fermentacao | Bancada 1 | 14:10 | 14:13
4 | 3 | pao_frances | modelagem_de_paes_de_massa_crocante | Bancada 1 | 14:06 | 14:10
4 | 3 | pao_frances | modelagem_de_paes_de_massa_crocante | Modeladora de Pães 1 | 14:02 | 14:06
4 | 2 | pao_frances | divisao_de_massas_crocantes | Bancada 1 | 13:58 | 14:02
4 | 2 | pao_frances | divisao_de_massas_crocantes | Divisoras de Massas 1 | 13:54 | 13:58
