[2025-05-26 11:21:47] [SimulacaoArmazenamentoCremeDeCamarao] [INFO] 🛠️ 4 atividades de armazenamento criadas.
[2025-05-26 11:21:47] [SimulacaoArmazenamentoCremeDeCamarao] [INFO] 🚀 Tentando alocar atividade 1 | Quantidade: 5000g.
[2025-05-26 11:24:12] [SimulacaoArmazenamentoCremeDeCamarao] [INFO] 🛠️ 4 atividades de armazenamento criadas.
[2025-05-26 11:24:12] [SimulacaoArmazenamentoCremeDeCamarao] [INFO] 🚀 Tentando alocar atividade 1 | Quantidade: 5000g.
[2025-05-26 11:24:12] [SimulacaoArmazenamentoCremeDeCamarao] [INFO] 🚀 Tentando alocar atividade 2 | Quantidade: 12000g.
[2025-05-26 11:24:12] [SimulacaoArmazenamentoCremeDeCamarao] [INFO] 🚀 Tentando alocar atividade 3 | Quantidade: 18000g.
[2025-05-26 11:24:12] [SimulacaoArmazenamentoCremeDeCamarao] [INFO] 🚀 Tentando alocar atividade 4 | Quantidade: 25000g.
[2025-05-27 09:24:04] [SimulacaoArmazenamentoCremeDeCamarao] [INFO] 🛠️ 30 atividades de armazenamento criadas.
[2025-05-27 09:24:04] [SimulacaoArmazenamentoCremeDeCamarao] [INFO] 🚀 Tentando alocar atividade 1 | Quantidade: 5000g.
[2025-05-27 09:24:04] [SimulacaoArmazenamentoCremeDeCamarao] [INFO] 🚀 Tentando alocar atividade 2 | Quantidade: 12000g.
[2025-05-27 09:24:04] [SimulacaoArmazenamentoCremeDeCamarao] [INFO] 🚀 Tentando alocar atividade 3 | Quantidade: 18000g.
[2025-05-27 09:24:04] [SimulacaoArmazenamentoCremeDeCamarao] [INFO] 🚀 Tentando alocar atividade 4 | Quantidade: 25000g.
[2025-05-27 09:24:04] [SimulacaoArmazenamentoCremeDeCamarao] [INFO] 🚀 Tentando alocar atividade 5 | Quantidade: 7000g.
[2025-05-27 09:24:04] [SimulacaoArmazenamentoCremeDeCamarao] [INFO] 🚀 Tentando alocar atividade 6 | Quantidade: 9000g.
[2025-05-27 09:24:04] [SimulacaoArmazenamentoCremeDeCamarao] [INFO] 🚀 Tentando alocar atividade 7 | Quantidade: 11000g.
[2025-05-27 09:24:04] [SimulacaoArmazenamentoCremeDeCamarao] [INFO] 🚀 Tentando alocar atividade 8 | Quantidade: 15000g.
[2025-05-27 09:24:04] [SimulacaoArmazenamentoCremeDeCamarao] [INFO] 🚀 Tentando alocar atividade 9 | Quantidade: 20000g.
[2025-05-27 09:24:04] [SimulacaoArmazenamentoCremeDeCamarao] [INFO] 🚀 Tentando alocar atividade 10 | Quantidade: 18000g.
[2025-05-27 09:24:04] [SimulacaoArmazenamentoCremeDeCamarao] [INFO] 🚀 Tentando alocar atividade 11 | Quantidade: 14000g.
[2025-05-27 09:24:04] [SimulacaoArmazenamentoCremeDeCamarao] [INFO] 🚀 Tentando alocar atividade 12 | Quantidade: 17000g.
[2025-05-27 09:24:04] [SimulacaoArmazenamentoCremeDeCamarao] [INFO] 🚀 Tentando alocar atividade 13 | Quantidade: 13000g.
[2025-05-27 09:24:04] [SimulacaoArmazenamentoCremeDeCamarao] [INFO] 🚀 Tentando alocar atividade 14 | Quantidade: 23000g.
[2025-05-27 09:24:04] [SimulacaoArmazenamentoCremeDeCamarao] [INFO] 🚀 Tentando alocar atividade 15 | Quantidade: 10000g.
